CompteurTemps	Temps	Cx0	Cy0	
1	0	-125.575	25.4818	
2	1e-06	-86.2792	18.4769	
3	2e-06	-19.615	-45.2611	
4	3e-06	-13.7634	-43.2748	
5	4e-06	-12.2279	-38.6878	
6	5e-06	-10.1751	-34.4798	
7	6e-06	-9.24588	-30.5023	
8	7e-06	-8.2705	-27.697	
9	8e-06	-7.08281	-25.0784	
10	9e-06	-6.86214	-22.2894	
11	1e-05	-6.09226	-20.2796	
12	1.1e-05	-5.86016	-17.9434	
13	1.2e-05	-5.55735	-16.6275	
14	1.3e-05	-5.39539	-14.9658	
15	1.4e-05	-4.55979	-13.9579	
16	1.5e-05	-4.23416	-12.7356	
17	1.6e-05	-3.62383	-11.7667	
18	1.7e-05	-3.82291	-10.7617	
19	1.8e-05	-3.55361	-9.88473	
20	1.9e-05	-3.37759	-9.08863	
21	2e-05	-3.07028	-8.4353	
22	2.1e-05	-3.096	-7.71751	
23	2.2e-05	-2.88517	-7.2563	
24	2.3e-05	-2.54409	-6.8261	
25	2.4e-05	-2.62108	-6.16954	
26	2.5e-05	-2.92689	-5.50179	
27	2.6e-05	-2.54034	-5.48528	
28	2.7e-05	-2.70083	-5.04021	
29	2.8e-05	-2.6669	-4.81457	
30	2.9e-05	-2.76545	-4.45407	
31	3e-05	-2.5182	-4.39048	
32	3.1e-05	-2.29186	-4.27626	
33	3.2e-05	-2.45135	-4.06892	
34	3.3e-05	-2.31598	-3.82574	
35	3.4e-05	-2.02811	-3.87947	
36	3.5e-05	-2.27816	-3.59908	
37	3.6e-05	-2.54951	-3.3832	
38	3.7e-05	-2.29	-3.45736	
39	3.8e-05	-2.00973	-3.49268	
40	3.9e-05	-1.71112	-3.49581	
41	4e-05	-1.89335	-3.20455	
42	4.1e-05	-1.5995	-3.2996	
43	4.2e-05	-1.68289	-3.05349	
44	4.3e-05	-1.49111	-3.12469	
45	4.4e-05	-1.67251	-2.92269	
46	4.5e-05	-1.40047	-3.09692	
47	4.6e-05	-1.57174	-2.86171	
48	4.7e-05	-1.93016	-2.51316	
49	4.8e-05	-1.47689	-2.78479	
50	4.9e-05	-1.94278	-2.48449	
51	5e-05	-1.58447	-2.67502	
52	5.1e-05	-1.68164	-2.54728	
53	5.2e-05	-1.5405	-2.60257	
54	5.3e-05	-1.76163	-2.37543	
55	5.4e-05	-1.67174	-2.47302	
56	5.5e-05	-1.9542	-2.32181	
57	5.6e-05	-1.99281	-2.29206	
58	5.7e-05	-1.45857	-2.63598	
59	5.8e-05	-1.59187	-2.53948	
60	5.9e-05	-1.57501	-2.51165	
61	6e-05	-1.45349	-2.55127	
62	6.1e-05	-1.55729	-2.35638	
63	6.2e-05	-1.48766	-2.47745	
64	6.3e-05	-1.92782	-2.08492	
65	6.4e-05	-1.57515	-2.46734	
66	6.5e-05	-1.73815	-2.29231	
67	6.6e-05	-1.67153	-2.31222	
68	6.7e-05	-1.55854	-2.40193	
69	6.8e-05	-1.29676	-2.60457	
70	6.9e-05	-1.57547	-2.32526	
71	7e-05	-1.52249	-2.42976	
72	7.1e-05	-1.53284	-2.45314	
73	7.2e-05	-1.59955	-2.41393	
74	7.3e-05	-1.50889	-2.50964	
75	7.4e-05	-1.66029	-2.43014	
76	7.5e-05	-1.33011	-2.64618	
77	7.6e-05	-1.77455	-2.33593	
78	7.7e-05	-1.63135	-2.44774	
79	7.8e-05	-1.62771	-2.34352	
80	7.9e-05	-1.39454	-2.49659	
81	8e-05	-1.33752	-2.56913	
82	8.1e-05	-1.40709	-2.65542	
83	8.2e-05	-1.31717	-2.70136	
84	8.3e-05	-1.45354	-2.55478	
85	8.4e-05	-1.26403	-2.62905	
86	8.5e-05	-1.36471	-2.51553	
87	8.6e-05	-1.32598	-2.56151	
88	8.7e-05	-1.35386	-2.58439	
89	8.8e-05	-1.83576	-2.215	
90	8.9e-05	-1.8394	-2.20414	
91	9e-05	-1.68529	-2.46235	
92	9.1e-05	-1.43945	-2.60727	
93	9.2e-05	-1.31297	-2.67116	
94	9.3e-05	-1.16516	-2.76714	
95	9.4e-05	-1.53304	-2.39764	
96	9.5e-05	-1.54526	-2.40407	
97	9.6e-05	-1.60442	-2.4929	
98	9.7e-05	-1.54391	-2.51813	
99	9.8e-05	-1.39403	-2.55847	
100	9.9e-05	-1.28986	-2.55494	
101	0.0001	-1.43195	-2.48315	
102	0.000101	-1.61352	-2.40748	
103	0.000102	-1.5909	-2.40679	
104	0.000103	-1.45843	-2.54258	
105	0.000104	-1.13102	-2.73222	
106	0.000105	-1.31007	-2.51179	
107	0.000106	-1.52099	-2.43037	
108	0.000107	-1.63992	-2.33865	
109	0.000108	-1.26423	-2.59603	
110	0.000109	-1.19559	-2.62966	
111	0.00011	-1.35188	-2.42859	
112	0.000111	-1.18417	-2.58248	
113	0.000112	-1.25671	-2.53019	
