CompteurTemps	Temps	Cx0	Cy0	
1	0	-207.213	51.0905	
2	1e-06	-84.7991	-1.28484	
3	2e-06	-22.3179	-57.6837	
4	3e-06	-16.1055	-52.6318	
5	4e-06	-14.7505	-45.9318	
6	5e-06	-12.1002	-40.2784	
7	6e-06	-10.7146	-35.5195	
8	7e-06	-9.53462	-31.3787	
9	8e-06	-9.01209	-27.5871	
10	9e-06	-7.95053	-24.7403	
11	1e-05	-7.30589	-22.1411	
12	1.1e-05	-6.48775	-19.9586	
13	1.2e-05	-5.97109	-17.8174	
14	1.3e-05	-5.53377	-16.0084	
15	1.4e-05	-5.51917	-14.2014	
16	1.5e-05	-5.05744	-12.8856	
17	1.6e-05	-4.2046	-11.9959	
18	1.7e-05	-4.36445	-10.6965	
19	1.8e-05	-4.15649	-9.75949	
20	1.9e-05	-3.95021	-8.95333	
21	2e-05	-3.82499	-8.32317	
22	2.1e-05	-3.66502	-7.55172	
23	2.2e-05	-3.17179	-7.29652	
24	2.3e-05	-2.72653	-6.78942	
25	2.4e-05	-3.53854	-5.80331	
26	2.5e-05	-3.17394	-5.8355	
27	2.6e-05	-3.04463	-5.38461	
28	2.7e-05	-2.72796	-5.21701	
29	2.8e-05	-2.61109	-4.9394	
30	2.9e-05	-2.59894	-4.69609	
31	3e-05	-2.64153	-4.36883	
32	3.1e-05	-2.26812	-4.47114	
33	3.2e-05	-2.24453	-4.21338	
34	3.3e-05	-1.95062	-4.0849	
35	3.4e-05	-2.009	-3.75507	
36	3.5e-05	-1.98763	-3.55568	
37	3.6e-05	-2.08252	-3.46674	
38	3.7e-05	-1.65677	-3.58208	
39	3.8e-05	-1.91568	-3.30074	
40	3.9e-05	-2.1723	-2.93644	
41	4e-05	-1.96414	-3.07219	
42	4.1e-05	-2.01125	-2.93343	
43	4.2e-05	-1.93006	-2.94215	
44	4.3e-05	-2.22977	-2.87552	
45	4.4e-05	-2.09139	-2.94244	
46	4.5e-05	-1.98053	-3.08985	
47	4.6e-05	-1.86175	-3.00446	
48	4.7e-05	-1.76992	-2.87607	
49	4.8e-05	-1.82321	-2.87627	
50	4.9e-05	-1.65861	-2.76521	
51	5e-05	-1.88573	-2.69004	
52	5.1e-05	-1.68267	-2.97661	
53	5.2e-05	-1.71746	-2.92866	
54	5.3e-05	-1.49879	-3.01618	
55	5.4e-05	-1.78421	-2.69971	
56	5.5e-05	-1.93466	-2.62056	
57	5.6e-05	-1.80941	-2.65388	
58	5.7e-05	-1.36011	-2.98644	
59	5.8e-05	-1.315	-2.95719	
60	5.9e-05	-1.33206	-2.86341	
61	6e-05	-1.50542	-2.75867	
62	6.1e-05	-1.50275	-2.77319	
63	6.2e-05	-1.69899	-2.76408	
64	6.3e-05	-1.62831	-2.81834	
65	6.4e-05	-1.65282	-2.8256	
66	6.5e-05	-1.64442	-2.73724	
67	6.6e-05	-1.74799	-2.54977	
68	6.7e-05	-1.4652	-2.7446	
69	6.8e-05	-1.55151	-2.52858	
70	6.9e-05	-1.87942	-2.56201	
71	7e-05	-1.6044	-2.81128	
72	7.1e-05	-1.8545	-2.6782	
73	7.2e-05	-1.67502	-2.76891	
74	7.3e-05	-1.63708	-2.72563	
75	7.4e-05	-1.32159	-2.95035	
76	7.5e-05	-1.61816	-2.6969	
77	7.6e-05	-1.38019	-2.90079	
78	7.7e-05	-1.6551	-2.87769	
79	7.8e-05	-1.44294	-3.0278	
80	7.9e-05	-1.4712	-2.89597	
81	8e-05	-1.89228	-2.56556	
82	8.1e-05	-1.60387	-2.80115	
83	8.2e-05	-1.592	-2.80599	
84	8.3e-05	-1.59634	-2.75618	
85	8.4e-05	-1.52376	-2.71006	
86	8.5e-05	-1.28493	-2.91044	
87	8.6e-05	-1.32194	-2.89942	
88	8.7e-05	-1.50438	-2.69011	
89	8.8e-05	-1.30738	-2.82513	
90	8.9e-05	-1.54877	-2.56609	
91	9e-05	-1.46759	-2.65918	
92	9.1e-05	-1.50913	-2.60779	
93	9.2e-05	-1.71846	-2.43145	
94	9.3e-05	-1.51556	-2.63547	
95	9.4e-05	-1.39631	-2.62687	
96	9.5e-05	-1.73708	-2.39014	
97	9.6e-05	-1.38035	-2.78216	
98	9.7e-05	-1.29896	-2.90085	
99	9.8e-05	-1.37239	-2.87141	
100	9.9e-05	-1.26319	-2.93429	
101	0.0001	-1.25318	-2.90751	
102	0.000101	-1.32623	-2.88075	
103	0.000102	-1.19537	-2.95074	
104	0.000103	-1.44519	-2.61492	
105	0.000104	-1.52005	-2.58934	
106	0.000105	-1.5391	-2.5612	
107	0.000106	-1.38688	-2.90462	
108	0.000107	-1.42559	-2.90029	
109	0.000108	-1.75758	-2.75255	
110	0.000109	-1.46498	-2.86573	
111	0.00011	-1.44645	-2.71521	
112	0.000111	-1.52266	-2.76275	
113	0.000112	-1.49912	-2.74786	
114	0.000113	-1.52696	-2.77704	
115	0.000114	-1.2431	-2.93078	
116	0.000115	-1.42632	-2.78589	
117	0.000116	-1.46275	-2.69212	
118	0.000117	-1.37793	-2.72717	
119	0.000118	-1.32678	-2.81521	
120	0.000119	-1.41427	-2.70723	
121	0.00012	-1.45058	-2.70718	
122	0.000121	-1.215	-2.88011	
123	0.000122	-1.26515	-2.86401	
124	0.000123	-1.56608	-2.58418	
125	0.000124	-1.19317	-2.91711	
126	0.000125	-1.13526	-2.9094	
127	0.000126	-1.37016	-2.68315	
128	0.000127	-1.47264	-2.76398	
129	0.000128	-1.61526	-2.74132	
130	0.000129	-1.38226	-2.84803	
131	0.00013	-1.45336	-2.78696	
132	0.000131	-1.60651	-2.72636	
133	0.000132	-1.69691	-2.71922	
134	0.000133	-1.42131	-2.9828	
135	0.000134	-1.38426	-2.96558	
136	0.000135	-1.25726	-3.15407	
137	0.000136	-1.4987	-2.88191	
138	0.000137	-1.57768	-2.8279	
139	0.000138	-1.61025	-2.84946	
140	0.000139	-1.81447	-2.74214	
141	0.00014	-1.80821	-3.02141	
142	0.000141	-1.71495	-3.17251	
143	0.000142	-1.65435	-3.24551	
144	0.000143	-1.64395	-3.02865	
145	0.000144	-1.41174	-3.08317	
146	0.000145	-1.58152	-2.9496	
147	0.000146	-1.42215	-3.07628	
148	0.000147	-1.43998	-2.89605	
149	0.000148	-1.47116	-2.82853	
150	0.000149	-1.37697	-2.94595	
151	0.00015	-1.54177	-2.76478	
152	0.000151	-1.30783	-3.00417	
153	0.000152	-1.43063	-2.94139	
154	0.000153	-1.31607	-3.0048	
155	0.000154	-1.08918	-3.14531	
156	0.000155	-1.23212	-3.01117	
157	0.000156	-1.2837	-3.00176	
158	0.000157	-1.27677	-2.98079	
159	0.000158	-1.48614	-2.90019	
160	0.000159	-1.34494	-3.01256	
161	0.00016	-1.32466	-2.97459	
162	0.000161	-1.36779	-2.86243	
163	0.000162	-1.32933	-2.88149	
164	0.000163	-1.37544	-2.82424	
165	0.000164	-1.25069	-2.93764	
166	0.000165	-1.19992	-2.99287	
167	0.000166	-1.33202	-2.88608	
168	0.000167	-1.18749	-3.05427	
169	0.000168	-1.23204	-3.02933	
170	0.000169	-1.40759	-2.72221	
171	0.00017	-1.28072	-2.91128	
172	0.000171	-1.15167	-2.94752	
173	0.000172	-1.25507	-2.83452	
174	0.000173	-1.17049	-2.90972	
175	0.000174	-1.17199	-2.85274	
176	0.000175	-1.28704	-2.6741	
177	0.000176	-1.27627	-2.71922	
178	0.000177	-1.07461	-2.94297	
179	0.000178	-1.29737	-2.73415	
180	0.000179	-1.33989	-2.76426	
181	0.00018	-1.48537	-2.62515	
182	0.000181	-1.68851	-2.54952	
183	0.000182	-1.69575	-2.73067	
184	0.000183	-1.42858	-2.87934	
185	0.000184	-1.55883	-2.78576	
186	0.000185	-1.42497	-2.8474	
187	0.000186	-1.22486	-3.04359	
188	0.000187	-1.43221	-2.87535	
189	0.000188	-1.37184	-2.92463	
190	0.000189	-1.25857	-2.96353	
191	0.00019	-1.41799	-2.82628	
192	0.000191	-1.41612	-2.85749	
193	0.000192	-1.38493	-2.81461	
194	0.000193	-1.20216	-2.99749	
195	0.000194	-1.47179	-2.79094	
196	0.000195	-1.18208	-3.0084	
197	0.000196	-1.28757	-2.9558	
198	0.000197	-1.25072	-3.0174	
199	0.000198	-1.28521	-2.81588	
200	0.000199	-1.34957	-2.9232	
201	0.0002	-1.32612	-2.92089	
202	0.000201	-1.35735	-2.91607	
203	0.000202	-1.32807	-2.91154	
204	0.000203	-1.04726	-3.12453	
205	0.000204	-1.30866	-2.84628	
206	0.000205	-1.1152	-2.99289	
207	0.000206	-1.31993	-2.76984	
208	0.000207	-1.24198	-2.87012	
209	0.000208	-1.56829	-2.653	
210	0.000209	-1.32883	-2.89378	
211	0.00021	-1.18164	-2.94539	
212	0.000211	-1.31201	-2.92587	
213	0.000212	-1.18581	-2.7738	
214	0.000213	-1.3278	-2.86683	
215	0.000214	-1.64335	-2.58585	
216	0.000215	-1.10736	-3.09147	
217	0.000216	-1.22464	-2.99304	
218	0.000217	-1.31238	-2.83813	
219	0.000218	-1.29548	-2.8092	
220	0.000219	-1.41853	-2.87877	
221	0.00022	-1.41	-2.8818	
222	0.000221	-1.18868	-3.14158	
223	0.000222	-0.996113	-3.22698	
224	0.000223	-1.37774	-2.87272	
225	0.000224	-1.49215	-2.79034	
226	0.000225	-1.33049	-2.93242	
227	0.000226	-1.26145	-2.95518	
228	0.000227	-1.34011	-2.93184	
229	0.000228	-1.33568	-2.86432	
230	0.000229	-1.22847	-2.96547	
231	0.00023	-1.22036	-2.97179	
232	0.000231	-1.10837	-3.0666	
233	0.000232	-1.04129	-3.14187	
234	0.000233	-1.1184	-3.07611	
235	0.000234	-1.3622	-2.85198	
236	0.000235	-1.25401	-2.94479	
237	0.000236	-1.29902	-2.92226	
238	0.000237	-1.10345	-3.02594	
239	0.000238	-1.06199	-3.07252	
240	0.000239	-1.03163	-3.0467	
241	0.00024	-1.11974	-2.94795	
242	0.000241	-1.02847	-2.97038	
243	0.000242	-1.29835	-2.94599	
244	0.000243	-1.35756	-2.97238	
245	0.000244	-1.52364	-2.86445	
246	0.000245	-1.29281	-3.19683	
247	0.000246	-1.38744	-3.14679	
248	0.000247	-1.38967	-3.0962	
249	0.000248	-1.13276	-3.07584	
250	0.000249	-1.32026	-2.99239	
251	0.00025	-1.10715	-3.0993	
252	0.000251	-1.18691	-3.06236	
253	0.000252	-1.03563	-3.13934	
254	0.000253	-1.26348	-2.88762	
255	0.000254	-1.16346	-3.0527	
256	0.000255	-1.24323	-2.98625	
257	0.000256	-1.17866	-3.00634	
258	0.000257	-1.29636	-2.93831	
259	0.000258	-1.14313	-3.27599	
260	0.000259	-1.22503	-3.03939	
261	0.00026	-1.0389	-3.15325	
262	0.000261	-1.01652	-3.15773	
263	0.000262	-1.13721	-3.0628	
264	0.000263	-1.1478	-3.04728	
265	0.000264	-1.23249	-3.06628	
266	0.000265	-1.07229	-3.16467	
267	0.000266	-0.998045	-3.19946	
268	0.000267	-1.06526	-3.16705	
269	0.000268	-1.19165	-3.02646	
270	0.000269	-1.07235	-3.14701	
271	0.00027	-1.48458	-2.9018	
272	0.000271	-1.33554	-3.04353	
273	0.000272	-0.957596	-3.33058	
274	0.000273	-1.11963	-3.15528	
275	0.000274	-1.03604	-3.27022	
276	0.000275	-1.11491	-3.04932	
277	0.000276	-1.28789	-2.9391	
278	0.000277	-1.25462	-2.93047	
279	0.000278	-1.16212	-2.9957	
280	0.000279	-1.1931	-2.96801	
281	0.00028	-1.15471	-3.03605	
282	0.000281	-1.15976	-2.90302	
