CompteurTemps	Temps	Cx0	Cy0	
1	0	-187.795	44.8084	
2	1e-06	-96.64	-2.50675	
3	2e-06	-27.5096	-67.2363	
4	3e-06	-23.0388	-60.7626	
5	4e-06	-19.191	-54.0271	
6	5e-06	-17.5186	-47.3643	
7	6e-06	-15.0465	-42.0992	
8	7e-06	-14.3599	-36.9897	
9	8e-06	-12.3532	-33.0256	
10	9e-06	-11.8774	-29.2891	
11	1e-05	-10.3481	-26.9422	
12	1.1e-05	-10.089	-23.834	
13	1.2e-05	-8.54697	-22.0001	
14	1.3e-05	-7.70308	-19.893	
15	1.4e-05	-7.35782	-17.5781	
16	1.5e-05	-6.95553	-16.1462	
17	1.6e-05	-6.32028	-14.8845	
18	1.7e-05	-6.23555	-13.2485	
19	1.8e-05	-6.21664	-12.0942	
20	1.9e-05	-5.65704	-11.1303	
21	2e-05	-5.15449	-10.4582	
22	2.1e-05	-4.71726	-9.7698	
23	2.2e-05	-4.36153	-9.14974	
24	2.3e-05	-4.43071	-8.20307	
25	2.4e-05	-3.8448	-8.00839	
26	2.5e-05	-3.6695	-7.49773	
27	2.6e-05	-3.67509	-6.98032	
28	2.7e-05	-3.67042	-6.46073	
29	2.8e-05	-3.19069	-6.32466	
30	2.9e-05	-3.13686	-6.22528	
31	3e-05	-2.67532	-5.9086	
32	3.1e-05	-2.79535	-5.30446	
33	3.2e-05	-3.00521	-4.90058	
34	3.3e-05	-3.10483	-4.69605	
35	3.4e-05	-2.41946	-4.97719	
36	3.5e-05	-2.57999	-4.52554	
37	3.6e-05	-2.50479	-4.37528	
38	3.7e-05	-2.10862	-4.50275	
39	3.8e-05	-1.97815	-4.34233	
40	3.9e-05	-2.16941	-3.99279	
41	4e-05	-2.05861	-3.99126	
42	4.1e-05	-2.05783	-3.95453	
43	4.2e-05	-1.8923	-3.98267	
44	4.3e-05	-1.94143	-3.85344	
45	4.4e-05	-1.95601	-3.68879	
46	4.5e-05	-1.97711	-3.56686	
47	4.6e-05	-1.95124	-3.58257	
48	4.7e-05	-2.24231	-3.40795	
49	4.8e-05	-2.00453	-3.55157	
50	4.9e-05	-2.15657	-3.23208	
51	5e-05	-2.0585	-3.37185	
52	5.1e-05	-2.00591	-3.65082	
53	5.2e-05	-1.74246	-3.73333	
54	5.3e-05	-1.94954	-3.54408	
55	5.4e-05	-1.88105	-3.47458	
56	5.5e-05	-2.00109	-3.32233	
57	5.6e-05	-1.99516	-3.30699	
58	5.7e-05	-2.2469	-3.14514	
59	5.8e-05	-1.81762	-3.36848	
60	5.9e-05	-1.97181	-3.28724	
61	6e-05	-1.9751	-3.2901	
62	6.1e-05	-1.55223	-3.61508	
63	6.2e-05	-1.70338	-3.46324	
64	6.3e-05	-1.62374	-3.52771	
65	6.4e-05	-1.80405	-3.39437	
66	6.5e-05	-1.87467	-3.3166	
67	6.6e-05	-1.60227	-3.49977	
68	6.7e-05	-1.62385	-3.43636	
69	6.8e-05	-1.92178	-3.15098	
70	6.9e-05	-2.07784	-3.29889	
71	7e-05	-1.90013	-3.49723	
72	7.1e-05	-1.95889	-3.459	
73	7.2e-05	-2.3792	-3.20203	
74	7.3e-05	-1.80359	-3.72503	
75	7.4e-05	-1.67256	-3.79154	
76	7.5e-05	-1.59793	-3.70898	
77	7.6e-05	-1.73003	-3.58853	
78	7.7e-05	-1.57977	-3.66206	
79	7.8e-05	-1.6071	-3.71267	
80	7.9e-05	-1.65565	-3.5225	
81	8e-05	-1.78278	-3.39932	
82	8.1e-05	-1.5478	-3.53096	
83	8.2e-05	-1.50959	-3.46976	
84	8.3e-05	-1.68459	-3.405	
85	8.4e-05	-1.61476	-3.55745	
86	8.5e-05	-1.72417	-3.52934	
87	8.6e-05	-1.70772	-3.5136	
88	8.7e-05	-1.89446	-3.31444	
89	8.8e-05	-1.87478	-3.49933	
90	8.9e-05	-2.25831	-3.10293	
91	9e-05	-1.74308	-3.54275	
92	9.1e-05	-1.79116	-3.48284	
93	9.2e-05	-1.99857	-3.33002	
94	9.3e-05	-1.54823	-3.65145	
95	9.4e-05	-1.84689	-3.41034	
96	9.5e-05	-1.67195	-3.53229	
97	9.6e-05	-1.4446	-3.83149	
98	9.7e-05	-1.57543	-3.86937	
99	9.8e-05	-1.66351	-3.83072	
100	9.9e-05	-1.97237	-3.62325	
101	0.0001	-1.72664	-3.7492	
102	0.000101	-1.62131	-3.65494	
103	0.000102	-2.07522	-3.56052	
104	0.000103	-2.12665	-3.58276	
105	0.000104	-1.84499	-3.7081	
106	0.000105	-2.01281	-3.58905	
107	0.000106	-1.83103	-3.68718	
108	0.000107	-1.51566	-3.89003	
109	0.000108	-1.65902	-3.72901	
110	0.000109	-1.86332	-3.56741	
111	0.00011	-1.72807	-3.67317	
112	0.000111	-1.78356	-3.64678	
113	0.000112	-1.73171	-3.7264	
114	0.000113	-1.49666	-3.89906	
115	0.000114	-1.6211	-3.73656	
116	0.000115	-2.04424	-3.34076	
117	0.000116	-1.98504	-3.38841	
118	0.000117	-1.92511	-3.50969	
119	0.000118	-1.93377	-3.49542	
120	0.000119	-1.81395	-3.58148	
121	0.00012	-1.68546	-3.6756	
122	0.000121	-1.89637	-3.58501	
123	0.000122	-1.71467	-3.72787	
124	0.000123	-1.79042	-3.72278	
125	0.000124	-1.75826	-3.7234	
126	0.000125	-1.45024	-3.89619	
127	0.000126	-1.48049	-3.78027	
128	0.000127	-1.90497	-3.36796	
129	0.000128	-1.77332	-3.53615	
130	0.000129	-1.53338	-3.67798	
131	0.00013	-1.90784	-3.45736	
132	0.000131	-1.60531	-3.76289	
133	0.000132	-1.65671	-3.7779	
134	0.000133	-1.49127	-3.86052	
135	0.000134	-1.48052	-3.90153	
136	0.000135	-1.90901	-3.51102	
137	0.000136	-1.69906	-3.73535	
138	0.000137	-1.68697	-3.6655	
139	0.000138	-1.67689	-3.6792	
140	0.000139	-1.49462	-3.93956	
141	0.00014	-1.60329	-3.88246	
142	0.000141	-1.66988	-3.78964	
143	0.000142	-1.72771	-3.6658	
144	0.000143	-1.84227	-3.60425	
145	0.000144	-1.61624	-3.78838	
146	0.000145	-1.59451	-3.893	
147	0.000146	-1.74778	-3.74354	
148	0.000147	-1.616	-3.81168	
149	0.000148	-1.71082	-3.82085	
150	0.000149	-1.6069	-3.7846	
151	0.00015	-1.71959	-3.77226	
152	0.000151	-1.59843	-3.87579	
153	0.000152	-1.70085	-3.79545	
154	0.000153	-1.59769	-3.89502	
155	0.000154	-1.47439	-3.97929	
156	0.000155	-1.74293	-3.73342	
157	0.000156	-1.49048	-3.87001	
158	0.000157	-1.60133	-3.78619	
159	0.000158	-1.7854	-3.58265	
160	0.000159	-1.45428	-3.88158	
161	0.00016	-1.84689	-3.53219	
162	0.000161	-1.54568	-3.82357	
163	0.000162	-1.65425	-3.73023	
164	0.000163	-1.46241	-3.90279	
165	0.000164	-1.46041	-3.77778	
166	0.000165	-1.71606	-3.71339	
167	0.000166	-1.80255	-3.72445	
168	0.000167	-1.66799	-3.84251	
169	0.000168	-1.68329	-3.88709	
170	0.000169	-1.3406	-4.04456	
171	0.00017	-1.6759	-3.84137	
172	0.000171	-1.59089	-3.86361	
173	0.000172	-1.59323	-3.90163	
174	0.000173	-1.62579	-3.91758	
175	0.000174	-1.56635	-3.95754	
176	0.000175	-1.33889	-4.18329	
177	0.000176	-1.41123	-4.10804	
178	0.000177	-1.62951	-3.87409	
179	0.000178	-1.48206	-4.04684	
180	0.000179	-1.59071	-3.98578	
181	0.00018	-1.54513	-4.01819	
182	0.000181	-1.58894	-3.91125	
183	0.000182	-1.65783	-3.8372	
184	0.000183	-1.59583	-3.89695	
185	0.000184	-1.51781	-3.94626	
186	0.000185	-1.86213	-3.67826	
187	0.000186	-1.60957	-3.88801	
188	0.000187	-1.42564	-4.00921	
189	0.000188	-1.5544	-3.94679	
190	0.000189	-1.29641	-4.12952	
191	0.00019	-1.37984	-4.00786	
192	0.000191	-1.62796	-3.86076	
193	0.000192	-1.59893	-3.92168	
194	0.000193	-1.51412	-3.96324	
195	0.000194	-1.44925	-4.02336	
196	0.000195	-1.37066	-4.08575	
