CompteurTemps	Temps	Cx0	Cy0	
1	0	-422.393	48.2981	
2	1e-06	-363.203	-106.216	
3	2e-06	-164.258	-257.451	
4	3e-06	-135.839	-237.815	
5	4e-06	-119.049	-213.265	
6	5e-06	-107.125	-188.847	
7	6e-06	-97.3523	-170.507	
8	7e-06	-88.1294	-153.989	
9	8e-06	-79.1567	-139.465	
10	9e-06	-72.7354	-127.93	
11	1e-05	-66.6713	-115.895	
12	1.1e-05	-63.6196	-105.052	
13	1.2e-05	-58.6718	-96.3534	
14	1.3e-05	-53.9895	-90.3112	
15	1.4e-05	-47.1229	-86.0056	
16	1.5e-05	-44.5497	-79.421	
17	1.6e-05	-44.0644	-74.3203	
18	1.7e-05	-39.7587	-70.4746	
19	1.8e-05	-42.3711	-65.6108	
20	1.9e-05	-36.7498	-64.6975	
21	2e-05	-35.881	-62.3302	
22	2.1e-05	-36.7032	-59.3854	
23	2.2e-05	-31.7653	-59.3248	
24	2.3e-05	-32.5404	-56.0251	
25	2.4e-05	-32.949	-54.1379	
26	2.5e-05	-30.2523	-53.8592	
27	2.6e-05	-31.122	-52.7012	
28	2.7e-05	-28.7073	-52.1927	
29	2.8e-05	-28.6067	-51.9476	
30	2.9e-05	-28.6187	-50.4306	
31	3e-05	-27.4891	-50.57	
32	3.1e-05	-26.6345	-49.3746	
33	3.2e-05	-27.3102	-48.4129	
34	3.3e-05	-26.887	-47.8169	
35	3.4e-05	-27.9275	-46.8146	
36	3.5e-05	-26.9103	-47.9755	
37	3.6e-05	-25.2641	-47.7275	
38	3.7e-05	-25.3202	-47.4624	
39	3.8e-05	-24.8931	-47.005	
40	3.9e-05	-23.4288	-47.4614	
41	4e-05	-23.3613	-46.6374	
42	4.1e-05	-24.3702	-46.7334	
43	4.2e-05	-26.1528	-47.8764	
44	4.3e-05	-25.0534	-47.8106	
45	4.4e-05	-25.2816	-47.5476	
46	4.5e-05	-25.3204	-47.4174	
47	4.6e-05	-25.4392	-47.5426	
48	4.7e-05	-24.46	-47.4001	
49	4.8e-05	-25.7643	-46.8064	
50	4.9e-05	-24.4131	-47.7001	
51	5e-05	-24.0868	-48.3804	
52	5.1e-05	-24.5429	-47.6555	
53	5.2e-05	-24.0472	-47.9892	
54	5.3e-05	-24.2629	-47.65	
55	5.4e-05	-23.9122	-47.6947	
56	5.5e-05	-24.5085	-47.8651	
57	5.6e-05	-25.3374	-47.1964	
58	5.7e-05	-24.6279	-47.4164	
59	5.8e-05	-25.0664	-48.3611	
60	5.9e-05	-24.3661	-48.5548	
61	6e-05	-25.0359	-47.8352	
62	6.1e-05	-24.0319	-47.8552	
63	6.2e-05	-24.536	-48.1094	
64	6.3e-05	-23.6824	-48.6504	
65	6.4e-05	-25.073	-47.4456	
66	6.5e-05	-24.7078	-48.3292	
67	6.6e-05	-25.1125	-48.8551	
68	6.7e-05	-24.7386	-47.8849	
69	6.8e-05	-24.5787	-47.872	
70	6.9e-05	-24.9612	-47.5081	
71	7e-05	-23.7749	-49.0643	
72	7.1e-05	-24.9397	-47.477	
73	7.2e-05	-24.8645	-48.6201	
74	7.3e-05	-24.1715	-48.7884	
75	7.4e-05	-24.082	-48.4097	
76	7.5e-05	-24.4555	-48.1307	
77	7.6e-05	-25.4959	-47.0139	
78	7.7e-05	-25.4608	-47.9991	
79	7.8e-05	-25.5718	-47.8289	
80	7.9e-05	-24.9616	-48.4878	
81	8e-05	-25.099	-48.3701	
82	8.1e-05	-25.1942	-48.1886	
83	8.2e-05	-24.559	-48.6879	
84	8.3e-05	-22.8129	-49.6317	
85	8.4e-05	-24.326	-47.9719	
86	8.5e-05	-26.4414	-47.6708	
87	8.6e-05	-25.3065	-47.5375	
88	8.7e-05	-27.0643	-46.8812	
89	8.8e-05	-25.3847	-48.5213	
90	8.9e-05	-25.7856	-48.5787	
91	9e-05	-25.0587	-48.7145	
92	9.1e-05	-24.9189	-48.5249	
93	9.2e-05	-24.7774	-48.2579	
94	9.3e-05	-24.5375	-49.3498	
95	9.4e-05	-24.666	-48.7982	
96	9.5e-05	-26.516	-48.1489	
97	9.6e-05	-25.5843	-47.9897	
98	9.7e-05	-25.8535	-48.1154	
99	9.8e-05	-27.256	-47.3501	
100	9.9e-05	-25.7847	-49.3231	
101	0.0001	-27.075	-48.3618	
102	0.000101	-25.8701	-49.5177	
103	0.000102	-26.2826	-49.473	
104	0.000103	-26.0366	-50.2792	
105	0.000104	-25.9233	-50.192	
106	0.000105	-25.7716	-49.8883	
107	0.000106	-25.94	-49.7257	
108	0.000107	-25.4647	-50.6226	
109	0.000108	-26.9038	-50.1711	
110	0.000109	-25.6593	-51.0356	
111	0.00011	-26.6656	-51.0141	
112	0.000111	-26.4071	-51.3465	
113	0.000112	-25.3532	-51.409	
114	0.000113	-28.3088	-50.0311	
115	0.000114	-26.9464	-50.5783	
116	0.000115	-27.3385	-50.8088	
117	0.000116	-27.9456	-50.7408	
118	0.000117	-27.2928	-51.8012	
119	0.000118	-27.4679	-50.7911	
120	0.000119	-28.4622	-50.073	
121	0.00012	-27.0581	-51.3221	
122	0.000121	-28.849	-50.0696	
123	0.000122	-26.9837	-51.643	
124	0.000123	-26.8893	-51.7869	
125	0.000124	-27.6556	-51.2268	
126	0.000125	-26.3388	-51.6043	
127	0.000126	-28.3665	-50.4471	
128	0.000127	-27.3544	-52.3745	
129	0.000128	-27.6158	-52.0459	
130	0.000129	-27.6378	-52.5768	
131	0.00013	-26.9008	-51.5148	
132	0.000131	-26.8611	-52.4474	
133	0.000132	-26.6143	-52.1722	
134	0.000133	-27.0883	-52.0719	
135	0.000134	-27.323	-52.4817	
136	0.000135	-28.4486	-51.0158	
137	0.000136	-26.4811	-52.0905	
138	0.000137	-26.079	-52.4787	
139	0.000138	-25.9405	-52.1303	
140	0.000139	-29.3563	-49.37	
141	0.00014	-27.1532	-50.664	
142	0.000141	-27.7294	-50.3261	
143	0.000142	-27.8694	-50.7377	
144	0.000143	-27.0466	-51.4683	
145	0.000144	-27.0606	-51.8487	
146	0.000145	-26.6766	-51.7347	
147	0.000146	-27.0265	-51.8541	
148	0.000147	-28.6091	-52.0515	
149	0.000148	-27.2568	-52.0701	
150	0.000149	-28.6425	-51.3893	
151	0.00015	-28.6731	-51.0066	
152	0.000151	-28.0649	-51.6776	
153	0.000152	-29.5622	-50.5464	
154	0.000153	-27.9534	-50.3763	
155	0.000154	-28.8816	-49.7382	
156	0.000155	-28.4041	-51.1224	
157	0.000156	-28.5859	-50.5699	
158	0.000157	-28.0574	-51.7199	
159	0.000158	-26.913	-52.3234	
160	0.000159	-28.8737	-51.104	
161	0.00016	-27.8065	-51.3529	
162	0.000161	-29.8044	-51.3224	
163	0.000162	-29.6271	-52.3868	
164	0.000163	-29.8511	-52.5412	
165	0.000164	-29.545	-51.4403	
166	0.000165	-28.9756	-52.261	
167	0.000166	-29.579	-52.0843	
168	0.000167	-29.3889	-51.3162	
169	0.000168	-29.7936	-52.2175	
170	0.000169	-28.6257	-52.7912	
171	0.00017	-29.7338	-52.4498	
172	0.000171	-29.4561	-52.0284	
173	0.000172	-29.7323	-52.2385	
174	0.000173	-30.3406	-52.4249	
175	0.000174	-30.1162	-52.2354	
176	0.000175	-30.6578	-53.054	
177	0.000176	-29.6895	-53.1839	
178	0.000177	-29.1006	-52.861	
179	0.000178	-30.6271	-52.0888	
180	0.000179	-29.511	-53.0183	
181	0.00018	-30.0539	-52.4323	
182	0.000181	-29.7453	-52.0113	
183	0.000182	-30.1558	-52.5532	
184	0.000183	-31.6536	-52.3466	
185	0.000184	-30.7119	-52.8509	
186	0.000185	-29.8092	-53.2556	
187	0.000186	-29.9911	-53.1114	
188	0.000187	-30.9832	-53.6824	
189	0.000188	-31.5495	-53.2327	
190	0.000189	-31.1566	-53.8134	
191	0.00019	-32.5985	-52.8408	
192	0.000191	-31.5315	-54.7972	
193	0.000192	-30.5767	-54.3262	
194	0.000193	-33.2474	-53.6793	
195	0.000194	-31.7571	-54.3674	
196	0.000195	-32.3336	-53.673	
197	0.000196	-31.0654	-55.0523	
198	0.000197	-31.173	-54.1987	
199	0.000198	-30.8928	-54.3952	
200	0.000199	-31.4147	-53.4417	
201	0.0002	-30.4104	-54.3695	
202	0.000201	-30.6596	-53.2283	
203	0.000202	-30.6384	-54.3226	
204	0.000203	-30.4663	-53.3124	
205	0.000204	-30.1676	-53.4468	
206	0.000205	-30.3143	-52.5555	
207	0.000206	-29.9291	-53.0898	
208	0.000207	-30.8257	-52.6049	
209	0.000208	-31.1767	-53.0658	
210	0.000209	-31.3633	-52.3852	
211	0.00021	-31.7618	-53.2068	
212	0.000211	-30.7481	-53.0801	
213	0.000212	-30.2486	-53.0879	
214	0.000213	-31.5346	-52.6247	
215	0.000214	-30.272	-53.2188	
216	0.000215	-30.846	-52.8532	
217	0.000216	-31.7068	-51.8606	
218	0.000217	-31.4457	-52.1313	
219	0.000218	-30.8609	-52.708	
220	0.000219	-30.4313	-52.7101	
221	0.00022	-29.6475	-52.7063	
222	0.000221	-31.3533	-51.7827	
223	0.000222	-30.6895	-52.5267	
224	0.000223	-33.0373	-51.0393	
225	0.000224	-31.2202	-51.8733	
226	0.000225	-31.3837	-53.8949	
227	0.000226	-33.2317	-52.6524	
228	0.000227	-31.0103	-52.9983	
229	0.000228	-33.7207	-51.5654	
230	0.000229	-31.8724	-52.2587	
231	0.00023	-31.3714	-53.2094	
232	0.000231	-31.9133	-51.9493	
233	0.000232	-30.5008	-51.9189	
234	0.000233	-30.9885	-51.7355	
235	0.000234	-31.4601	-51.8454	
236	0.000235	-29.9998	-52.9297	
237	0.000236	-31.9077	-51.2135	
238	0.000237	-30.2498	-52.1547	
239	0.000238	-31.2867	-51.4003	
240	0.000239	-32.6981	-49.028	
241	0.00024	-30.2687	-51.059	
242	0.000241	-30.3041	-50.8515	
243	0.000242	-30.155	-51.5045	
244	0.000243	-29.1662	-51.0504	
245	0.000244	-29.7971	-50.43	
246	0.000245	-29.3447	-49.6364	
247	0.000246	-30.5665	-49.3463	
248	0.000247	-32.8717	-48.2204	
249	0.000248	-29.3266	-49.8913	
250	0.000249	-30.1058	-50.1121	
251	0.00025	-29.3045	-50.0607	
252	0.000251	-31.9801	-48.3516	
253	0.000252	-30.7545	-49.1539	
254	0.000253	-30.2189	-49.1367	
255	0.000254	-28.9356	-49.6512	
256	0.000255	-28.3521	-48.4331	
257	0.000256	-30.3467	-48.5352	
258	0.000257	-29.8916	-48.8876	
259	0.000258	-28.917	-48.7827	
260	0.000259	-28.2838	-48.1493	
261	0.00026	-27.5527	-48.7331	
262	0.000261	-28.5976	-47.6503	
263	0.000262	-28.4184	-47.4811	
264	0.000263	-27.2921	-47.9057	
265	0.000264	-28.1693	-46.8731	
266	0.000265	-27.4679	-47.4748	
267	0.000266	-28.6703	-46.4672	
268	0.000267	-28.316	-46.906	
269	0.000268	-27.7262	-46.8186	
270	0.000269	-27.3618	-46.4991	
271	0.00027	-28.5418	-46.9141	
272	0.000271	-28.4503	-46.8579	
273	0.000272	-28.1148	-47.5963	
274	0.000273	-26.7658	-47.429	
275	0.000274	-27.615	-46.3511	
276	0.000275	-28.1772	-46.9291	
277	0.000276	-27.2024	-47.3882	
278	0.000277	-27.7336	-46.8604	
279	0.000278	-26.8387	-47.6851	
280	0.000279	-26.9502	-47.4064	
281	0.00028	-26.0428	-47.9281	
282	0.000281	-27.45	-46.237	
283	0.000282	-26.7223	-46.3631	
284	0.000283	-26.0224	-45.9909	
285	0.000284	-27.0782	-45.3661	
286	0.000285	-26.6918	-45.8054	
287	0.000286	-27.0209	-45.5253	
288	0.000287	-26.0644	-46.1318	
289	0.000288	-25.8552	-45.0656	
290	0.000289	-26.0047	-43.8882	
291	0.00029	-25.3695	-44.0857	
292	0.000291	-25.4253	-44.0566	
293	0.000292	-25.579	-43.8527	
294	0.000293	-25.5309	-43.3269	
295	0.000294	-24.6915	-43.9459	
296	0.000295	-24.0907	-43.6038	
297	0.000296	-24.6424	-43.7183	
298	0.000297	-24.2551	-43.8982	
299	0.000298	-24.6207	-42.7962	
300	0.000299	-25.6042	-42.5473	
301	0.0003	-24.4539	-43.2538	
302	0.000301	-25.5216	-42.1707	
303	0.000302	-23.3223	-42.5052	
304	0.000303	-24.4261	-41.3155	
305	0.000304	-24.7536	-41.218	
306	0.000305	-23.9102	-41.717	
307	0.000306	-23.4233	-42.3458	
308	0.000307	-22.9133	-42.9843	
309	0.000308	-22.6408	-42.5692	
310	0.000309	-23.3698	-41.3802	
311	0.00031	-21.9922	-40.8798	
312	0.000311	-23.4464	-39.8339	
313	0.000312	-22.9968	-39.1953	
314	0.000313	-24.0655	-38.9586	
315	0.000314	-24.0129	-38.8007	
316	0.000315	-21.8328	-39.7623	
317	0.000316	-21.513	-40.8524	
318	0.000317	-21.7481	-39.9304	
319	0.000318	-21.8436	-39.4511	
320	0.000319	-21.9594	-39.3449	
321	0.00032	-22.336	-39.0855	
322	0.000321	-21.5429	-38.8901	
323	0.000322	-22.1145	-38.8873	
324	0.000323	-21.4454	-38.8663	
325	0.000324	-21.1079	-39.0619	
326	0.000325	-21.6839	-38.206	
327	0.000326	-22.4943	-37.315	
328	0.000327	-22.9512	-37.2318	
329	0.000328	-22.1838	-37.5289	
330	0.000329	-22.9883	-37.4129	
331	0.00033	-21.5159	-37.1007	
332	0.000331	-20.7596	-37.7259	
333	0.000332	-21.4779	-37.8266	
334	0.000333	-21.6635	-37.6351	
335	0.000334	-21.5879	-37.8986	
336	0.000335	-21.1896	-37.3285	
337	0.000336	-21.7442	-36.0148	
338	0.000337	-21.092	-36.6027	
339	0.000338	-21.6452	-36.7616	
340	0.000339	-20.2845	-37.1301	
341	0.00034	-21.0582	-36.4067	
342	0.000341	-21.0429	-36.0619	
343	0.000342	-21.4428	-35.9183	
344	0.000343	-22.0787	-35.0582	
345	0.000344	-20.9704	-36.1492	
346	0.000345	-21.8312	-34.906	
347	0.000346	-20.9308	-35.2809	
348	0.000347	-21.1646	-34.3199	
349	0.000348	-22.1469	-34.3983	
350	0.000349	-22.2898	-34.4711	
351	0.00035	-20.8332	-35.8728	
352	0.000351	-20.8698	-34.9839	
353	0.000352	-22.0178	-33.5332	
354	0.000353	-20.8125	-34.1344	
355	0.000354	-20.8243	-33.9618	
356	0.000355	-21.6582	-33.1299	
357	0.000356	-22.6919	-32.7901	
358	0.000357	-20.3528	-34.3042	
359	0.000358	-20.9036	-34.5979	
360	0.000359	-21.0461	-33.6598	
361	0.00036	-21.73	-32.8317	
362	0.000361	-20.6358	-33.7716	
363	0.000362	-21.1966	-33.0262	
364	0.000363	-20.6858	-32.4231	
365	0.000364	-20.8308	-33.425	
366	0.000365	-22.4624	-32.1454	
367	0.000366	-21.1703	-33.3197	
368	0.000367	-21.8633	-32.1677	
369	0.000368	-21.5987	-31.3978	
370	0.000369	-22.726	-31.3226	
371	0.00037	-22.162	-32.7598	
372	0.000371	-22.1202	-32.687	
373	0.000372	-22.0655	-32.1346	
374	0.000373	-21.9386	-32.9339	
375	0.000374	-21.3123	-33.1363	
376	0.000375	-21.304	-32.3622	
377	0.000376	-21.312	-32.3044	
378	0.000377	-20.5429	-31.9018	
379	0.000378	-20.5802	-32.24	
380	0.000379	-21.5335	-31.5148	
381	0.00038	-22.419	-31.0656	
382	0.000381	-21.6589	-31.6551	
383	0.000382	-21.4461	-31.0432	
384	0.000383	-21.2255	-31.3358	
385	0.000384	-19.9512	-31.7211	
386	0.000385	-21.9112	-30.2405	
387	0.000386	-21.8197	-30.3018	
388	0.000387	-20.1974	-30.8405	
389	0.000388	-20.6403	-30.715	
390	0.000389	-21.3269	-30.7474	
391	0.00039	-20.5278	-30.793	
392	0.000391	-21.3313	-30.6535	
393	0.000392	-21.3478	-29.6106	
