CompteurTemps	Temps	Cx0	Cy0	
1	0	-0.0165902	-0.0348032	
2	0.01	-1.50826	-3.10851	
3	0.02	-1.08508	-0.583593	
4	0.03	-1.1163	-0.088274	
5	0.04	-1.0599	-0.14735	
6	0.05	-0.937677	-0.0890063	
7	0.06	-0.96166	-0.0818363	
8	0.07	-0.835672	-0.0847056	
9	0.08	-0.927199	-0.125822	
10	0.09	-0.95106	-0.239932	
11	0.1	-1.02396	-0.371556	
12	0.11	-1.16044	-0.371523	
13	0.12	-1.06219	-0.413373	
14	0.13	-1.0454	-0.343324	
15	0.14	-1.04896	-0.322328	
16	0.15	-0.896144	-0.210321	
17	0.16	-0.953247	-0.208721	
18	0.17	-0.935619	-0.315426	
19	0.18	-1.01128	-0.457106	
20	0.19	-1.03059	-0.323065	
21	0.2	-1.01061	-0.429706	
22	0.21	-1.0982	-0.547039	
23	0.22	-0.976206	-0.483568	
24	0.23	-1.06833	-0.673468	
25	0.24	-1.03842	-0.762477	
26	0.25	-1.11123	-0.72906	
27	0.26	-1.09471	-0.504671	
28	0.27	-1.04483	-0.372557	
29	0.28	-0.994324	-0.546376	
30	0.29	-1.06941	-0.614048	
31	0.3	-1.00519	-0.483813	
32	0.31	-0.995256	-0.523275	
33	0.32	-0.987494	-0.503244	
34	0.33	-0.956999	-0.435255	
35	0.34	-0.937243	-0.48694	
36	0.35	-0.960704	-0.569989	
37	0.36	-1.01742	-0.55769	
38	0.37	-1.09451	-0.788613	
39	0.38	-1.17484	-0.767409	
40	0.39	-1.24524	-0.814439	
41	0.4	-1.21086	-0.706719	
42	0.41	-1.14316	-0.595027	
43	0.42	-1.09437	-0.529815	
44	0.43	-1.04412	-0.638271	
45	0.44	-1.10723	-0.708713	
46	0.45	-1.11021	-0.692326	
47	0.46	-1.10202	-0.608981	
48	0.47	-1.07146	-0.52643	
49	0.48	-1.06843	-0.499676	
50	0.49	-1.01079	-0.47614	
51	0.5	-1.0177	-0.379032	
